#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
-0.690476,14,73.719948
-9.571429,19,73.805648
1.238095,11,73.854608
1.166667,8,73.89042
-9.619048,17,73.966589
-0.785714,10,74.012488
-9.809524,9,74.052432
-0.880952,6,74.082447
-9.785714,10,74.126982
1.261905,12,74.180575
1.095238,5,74.204503
-0.738095,12,74.259906
1.214286,10,74.304252
-0.785714,10,74.352225
-9.738095,12,74.581666
1.261905,12,74.638203
1.119048,6,74.66739
1.238095,11,74.719688
1.119048,6,74.750325
-9.809524,9,74.794129
1.380952,17,74.872176
1.119048,6,74.901712
1.142857,7,74.937936
-0.809524,9,74.981548
1.190476,9,75.024006
-9.642857,16,75.095651
1.095238,5,75.121173
-0.690476,14,75.185508
1.095238,5,75.210426
-0.666667,15,75.281957
-0.738095,12,75.343193
1.190476,9,75.385199
1.214286,10,75.431195
1.238095,11,75.483159
-0.690476,14,75.55105
-9.714286,13,75.615014
-0.714286,13,75.67862
1.238095,11,75.731401
-9.738095,12,75.791019
1.214286,10,76.021057
1.095238,5,76.047267
-0.809524,9,76.093334
1.166667,8,76.132024
1.214286,10,76.179518
1.238095,11,76.230679
1.238095,11,76.282156
1.261905,12,76.339392
1.095238,5,76.363705
1.142857,7,76.395744
1.095238,5,76.421897
-0.809524,9,76.466634
1.095238,5,76.491308
-0.928571,4,76.51257
-0.738095,12,76.570901
-9.714286,13,76.628635
-0.690476,14,76.693572
1.166667,8,76.73235
-9.642857,16,76.802043
-0.880952,6,76.831023
1.261905,12,76.887042
1.214286,10,76.934371
1.214286,10,76.984009
1.261905,12,77.041771
1.166667,8,77.081149
1.261905,12,77.139184
1.238095,11,77.190186
1.166667,8,77.397657
-0.738095,12,77.454838
-0.833333,8,77.494141
1.071429,4,77.514341
-0.690476,14,77.580734
-0.738095,12,77.635698
1.190476,9,77.676322
1.357143,16,77.752044
-9.785714,10,77.796988
-0.738095,12,77.854381
1.285714,13,77.913212
-0.761905,11,77.96721
-0.738095,12,78.025345
-9.690476,14,78.087336
1.285714,13,78.148393
1.238095,11,78.198769
-0.833333,8,78.239308
1.142857,7,78.275585
-9.642857,16,78.357559
-9.714286,13,78.419212
-0.761905,11,78.471172
-0.857143,7,78.505163
-0.714286,13,78.566848
-0.595238,18,78.81684
1.166667,8,78.856044
1.095238,5,78.881787
-0.761905,11,78.93732
-9.714286,13,79.002455
-0.833333,8,79.040786
1.190476,9,79.083076
1.190476,9,79.126569
1.285714,13,79.187326
-0.690476,14,79.254388
-0.642857,16,79.330355
1.166667,8,79.369188
1.142857,7,79.403643
1.214286,10,79.450231
1.261905,12,79.504766
-0.833333,8,79.546834
-9.785714,10,79.595558
-9.666667,15,79.667662
1.142857,7,79.702067
1.357143,16,79.779263
-9.690476,14,79.84405
1.285714,13,79.907915
1.214286,10,79.956969
-0.761905,11,80.196469
1.095238,5,80.222856
1.285714,13,80.286366
-0.642857,16,80.360908
-9.666667,15,80.429602
-9.666667,15,80.498915
-9.785714,10,80.546228
-0.904762,5,80.57222
1.166667,8,80.611776
-9.690476,14,80.676594
-0.785714,10,80.730002
1.238095,11,80.7853
-9.738095,12,80.839074
1.261905,12,80.895707
1.190476,9,80.944279
-0.785714,10,80.998277
-9.761905,11,81.051314
-0.738095,12,81.111732
-9.571429,19,81.199918
1.190476,9,81.244088
1.309524,14,81.311066
-0.785714,10,81.360619
-0.738095,12,81.418168
-0.857143,7,81.611735
1.166667,8,81.651698
1.285714,13,81.715535
