#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
1.071429,4,676.619894
1.071429,4,676.638364
1.071429,4,676.658455
1.166667,8,676.697834
1.071429,4,676.719868
1.071429,4,676.741349
-9.738095,12,676.79769
1.119048,6,676.826595
1.095238,5,676.851832
1.071429,4,676.874241
1.071429,4,676.894995
1.071429,4,676.914818
1.071429,4,676.935299
1.071429,4,676.955309
1.071429,4,676.975697
1.071429,4,676.995733
1.071429,4,677.016589
1.238095,11,677.067873
1.071429,4,677.088587
1.142857,7,677.122791
1.071429,4,677.142869
1.071429,4,677.163431
1.071429,4,677.184131
1.071429,4,677.203505
1.071429,4,677.223057
1.071429,4,677.243539
1.142857,7,677.278185
1.095238,5,677.304539
1.071429,4,677.326149
1.071429,4,677.346005
-0.761905,11,677.400526
1.071429,4,677.420476
1.071429,4,677.441444
1.071429,4,677.461762
1.095238,5,677.486093
1.071429,4,677.505978
1.285714,13,677.567251
1.119048,6,677.595376
1.166667,8,677.635584
1.095238,5,677.661175
-0.857143,7,677.919719
1.190476,9,677.966051
1.071429,4,677.988034
1.071429,4,678.008927
1.071429,4,678.029287
1.095238,5,678.054281
1.095238,5,678.079837
1.071429,4,678.100911
1.071429,4,678.123031
1.095238,5,678.148438
1.095238,5,678.174341
1.166667,8,678.21385
1.071429,4,678.235091
1.071429,4,678.255508
-0.928571,4,678.277799
1.190476,9,678.32175
1.071429,4,678.342349
1.238095,11,678.393706
1.214286,10,678.442919
1.119048,6,678.472752
1.095238,5,678.496707
1.071429,4,678.51703
-0.809524,9,678.564129
1.071429,4,678.586381
1.071429,4,678.607408
1.071429,4,678.629608
1.119048,6,678.659457
1.071429,4,678.679973
1.071429,4,678.702062
1.238095,11,678.759662
1.071429,4,678.782284
1.166667,8,678.820425
1.071429,4,678.83992
1.071429,4,678.860769
1.095238,5,678.885134
1.214286,10,678.931504
1.071429,4,678.951638
1.142857,7,678.983735
-0.761905,11,679.037247
1.214286,10,679.082422
1.095238,5,679.106399
1.095238,5,679.13121
1.142857,7,679.164295
1.190476,9,679.431274
1.071429,4,679.452961
1.071429,4,679.473821
1.190476,9,679.51713
1.214286,10,679.565612
1.071429,4,679.585848
1.071429,4,679.605994
1.071429,4,679.627208
1.071429,4,679.647482
-0.857143,7,679.683713
1.190476,9,679.726642
1.071429,4,679.749901
1.285714,13,679.811949
1.071429,4,679.831457
1.071429,4,679.851437
1.190476,9,679.894179
1.071429,4,679.914714
1.071429,4,679.935998
1.095238,5,679.961673
1.071429,4,679.982038
1.095238,5,680.006995
1.071429,4,680.027834
1.071429,4,680.049375
1.071429,4,680.070408
1.166667,8,680.110247
1.071429,4,680.132132
1.190476,9,680.176613
1.071429,4,680.198609
1.071429,4,680.21966
1.071429,4,680.23964
1.166667,8,680.277352
1.071429,4,680.298097
1.095238,5,680.322825
1.071429,4,680.343419
1.071429,4,680.363949
-0.738095,12,680.421571
-0.904762,5,680.449559
1.166667,8,680.488513
-9.642857,16,680.560386
1.238095,11,680.611205
1.071429,4,680.631181
-9.642857,16,680.923342
1.071429,4,680.945028
1.214286,10,680.994829
1.190476,9,681.039045
1.095238,5,681.065258
-0.833333,8,681.106112
1.095238,5,681.132216
-0.880952,6,681.164064
1.071429,4,681.186064
-0.738095,12,681.248071
1.071429,4,681.268261
1.071429,4,681.289037
1.095238,5,681.312252
1.214286,10,681.358012
1.214286,10,681.407427
1.071429,4,681.428251
1.166667,8,681.468082
1.071429,4,681.488564
1.142857,7,681.521629
1.190476,9,681.563926
1.071429,4,681.584224
1.071429,4,681.605172
1.071429,4,681.626415
1.095238,5,681.651562
1.071429,4,681.670789
1.071429,4,681.690528
1.095238,5,681.7141
1.071429,4,681.73397
1.071429,4,681.754127
-0.809524,9,681.803218
1.095238,5,681.827933
1.190476,9,681.873936
1.166667,8,681.911443
1.071429,4,681.932332
1.166667,8,681.971312
1.071429,4,681.992341
1.119048,6,682.022868
1.214286,10,682.070004
1.309524,14,682.134159
-0.690476,14,682.406785
-0.809524,9,682.451456
1.095238,5,682.477864
1.142857,7,682.51179
1.071429,4,682.531809
1.071429,4,682.553217
1.071429,4,682.574163
1.142857,7,682.608863
1.119048,6,682.638032
-0.761905,11,682.693266
1.071429,4,682.715644
1.142857,7,682.74991
1.190476,9,682.792732
1.071429,4,682.813139
1.142857,7,682.845154
1.119048,6,682.874958
1.166667,8,682.9135
1.166667,8,682.952012
1.071429,4,682.971585
1.071429,4,682.994375
1.071429,4,683.015706
1.071429,4,683.036562
-0.833333,8,683.07636
1.071429,4,683.097461
1.166667,8,683.136923
1.071429,4,683.158325
1.071429,4,683.177806
1.095238,5,683.202826
1.238095,11,683.253293
1.071429,4,683.273904
1.119048,6,683.303607
1.071429,4,683.323606
1.071429,4,683.343156
1.214286,10,683.388072
1.071429,4,683.408788
1.214286,10,683.453095
1.071429,4,683.475692
1.071429,4,683.495849
1.071429,4,683.516558
1.190476,9,683.559789
1.071429,4,683.581043
1.071429,4,683.602975
1.071429,4,683.622749
1.214286,10,683.88157
1.119048,6,683.911266
1.095238,5,683.935384
1.071429,4,683.954704
1.071429,4,683.97521
1.071429,4,683.996326
1.071429,4,684.017132
1.142857,7,684.05079
1.119048,6,684.081005
1.142857,7,684.115267
1.071429,4,684.134906
1.190476,9,684.17728
-0.857143,7,684.21251
1.071429,4,684.232263
1.071429,4,684.252403
1.071429,4,684.272982
1.238095,11,684.323728
1.190476,9,684.365276
1.071429,4,684.384639
1.238095,11,684.435939
1.071429,4,684.455277
-9.619048,17,684.533016
1.071429,4,684.555184
1.190476,9,684.599159
1.071429,4,684.618644
1.071429,4,684.638086
1.190476,9,684.680589
1.071429,4,684.69994
1.142857,7,684.733797
1.071429,4,684.754157
1.119048,6,684.784037
1.095238,5,684.810482
1.095238,5,684.837977
1.071429,4,684.859428
1.071429,4,684.880894
1.071429,4,684.902004
1.071429,4,684.92175
1.071429,4,684.942467
1.095238,5,684.96792
-0.833333,8,685.00882
1.238095,11,685.061325
1.261905,12,685.32659
1.214286,10,685.373164
-0.809524,9,685.414782
1.095238,5,685.439
1.071429,4,685.457934
-0.833333,8,685.496716
1.071429,4,685.517175
1.071429,4,685.53775
1.071429,4,685.559097
1.166667,8,685.597753
1.214286,10,685.644859
1.095238,5,685.669031
1.071429,4,685.688446
1.071429,4,685.709249
1.071429,4,685.729168
1.238095,11,685.782957
1.095238,5,685.809762
1.071429,4,685.832157
1.071429,4,685.852143
1.261905,12,685.906908
1.166667,8,685.944399
-9.738095,12,685.999472
1.071429,4,686.020926
-0.785714,10,686.070536
1.119048,6,686.101273
1.142857,7,686.136177
1.214286,10,686.18398
-0.785714,10,686.232006
1.071429,4,686.252339
1.071429,4,686.273104
1.071429,4,686.29366
1.119048,6,686.324572
1.071429,4,686.345329
1.095238,5,686.370725
1.071429,4,686.392871
1.071429,4,686.414396
1.071429,4,686.435341
1.071429,4,686.456063
1.261905,12,686.514741
1.071429,4,686.53618
1.071429,4,686.556732
1.071429,4,686.784864
-0.809524,9,686.832348
1.095238,5,686.859329
1.142857,7,686.894388
1.119048,6,686.92518
1.142857,7,686.961302
1.166667,8,687.000305
1.071429,4,687.021255
-0.785714,10,687.072273
1.119048,6,687.104081
1.071429,4,687.124101
1.071429,4,687.144826
1.071429,4,687.166343
1.285714,13,687.227365
1.071429,4,687.248974
1.261905,12,687.306358
1.071429,4,687.327716
1.071429,4,687.347914
1.142857,7,687.381955
1.095238,5,687.408049
1.071429,4,687.429089
1.190476,9,687.471991
1.071429,4,687.493082
1.095238,5,687.518047
1.071429,4,687.540207
1.071429,4,687.561172
1.071429,4,687.582434
1.071429,4,687.6035
1.071429,4,687.623604
1.095238,5,687.648383
1.071429,4,687.667586
1.071429,4,687.687431
1.166667,8,687.72569
1.071429,4,687.747224
1.071429,4,687.768131
1.071429,4,687.789129
1.071429,4,687.810082
1.071429,4,687.830656
-0.904762,5,687.858924
-0.809524,9,687.906823
1.071429,4,687.927305
1.071429,4,687.947627
1.071429,4,687.967537
1.119048,6,687.99761
1.071429,4,688.018662
1.071429,4,688.039319
1.071429,4,688.061123
1.071429,4,688.081724
1.071429,4,688.316047
1.095238,5,688.341258
1.071429,4,688.361507
1.190476,9,688.404474
1.190476,9,688.445513
1.261905,12,688.503216
1.166667,8,688.542062
1.261905,12,688.6054
1.238095,11,688.658488
1.071429,4,688.679814
1.071429,4,688.700354
1.095238,5,688.725357
1.166667,8,688.76655
1.071429,4,688.78781
1.190476,9,688.831199
1.142857,7,688.86782
1.071429,4,688.890111
1.071429,4,688.911035
-9.761905,11,688.958996
1.095238,5,688.984241
1.095238,5,689.010166
1.119048,6,689.039637
1.095238,5,689.067549
1.071429,4,689.087588
1.071429,4,689.1078
1.071429,4,689.127645
1.095238,5,689.151739
1.071429,4,689.173143
1.214286,10,689.220302
1.071429,4,689.240071
1.214286,10,689.288378
1.261905,12,689.345136
1.142857,7,689.378602
1.071429,4,689.398557
1.166667,8,689.436074
1.071429,4,689.456074
1.190476,9,689.498906
1.071429,4,689.51904
1.071429,4,689.539754
1.071429,4,689.560693
1.095238,5,689.791402
1.071429,4,689.812078
1.071429,4,689.833924
1.214286,10,689.88274
1.214286,10,689.930864
1.142857,7,689.96532
1.190476,9,690.007452
-0.833333,8,690.047829
1.238095,11,690.099719
-0.809524,9,690.144258
1.071429,4,690.165843
1.095238,5,690.191582
1.071429,4,690.213124
1.238095,11,690.265523
1.095238,5,690.290243
1.119048,6,690.318551
1.071429,4,690.338771
1.142857,7,690.372645
1.071429,4,690.393649
1.095238,5,690.420302
1.166667,8,690.459618
1.071429,4,690.479831
1.071429,4,690.500259
1.095238,5,690.525533
1.095238,5,690.550825
1.071429,4,690.573043
1.119048,6,690.602931
1.071429,4,690.623051
1.095238,5,690.648306
1.071429,4,690.669634
1.071429,4,690.690463
1.071429,4,690.710975
-0.809524,9,690.755023
1.071429,4,690.775579
1.071429,4,690.796787
1.071429,4,690.818007
-9.595238,18,690.906208
1.190476,9,690.951502
1.095238,5,690.977145
1.071429,4,690.998842
1.071429,4,691.019363
1.142857,7,691.257379
1.071429,4,691.279146
1.071429,4,691.299777
1.071429,4,691.320245
1.071429,4,691.340967
1.071429,4,691.361705
1.166667,8,691.40049
1.095238,5,691.424726
1.142857,7,691.457859
1.071429,4,691.477677
1.071429,4,691.498094
1.071429,4,691.517993
1.071429,4,691.537868
1.119048,6,691.568694
1.119048,6,691.597215
1.071429,4,691.618552
1.166667,8,691.657432
1.071429,4,691.676698
1.071429,4,691.695834
1.071429,4,691.71603
1.071429,4,691.735629
1.285714,13,691.795321
-0.714286,13,691.856128
1.071429,4,691.876142
1.357143,16,691.95114
1.071429,4,691.971123
1.071429,4,691.992644
1.071429,4,692.012671
1.071429,4,692.032514
1.095238,5,692.056582
1.095238,5,692.080859
1.214286,10,692.126969
1.095238,5,692.151788
1.071429,4,692.172566
1.190476,9,692.215694
1.071429,4,692.236432
1.214286,10,692.283584
1.095238,5,692.309038
1.071429,4,692.330056
1.071429,4,692.34946
1.190476,9,692.391895
1.166667,8,692.430414
1.238095,11,692.480568
1.095238,5,692.713024
1.214286,10,692.761724
1.119048,6,692.791302
1.071429,4,692.812673
1.071429,4,692.833077
1.190476,9,692.876632
1.095238,5,692.904202
-0.809524,9,692.949392
1.190476,9,692.992492
1.142857,7,693.026449
1.214286,10,693.074869
1.095238,5,693.102031
-9.738095,12,693.159377
1.214286,10,693.206962
1.071429,4,693.227228
1.095238,5,693.253163
-0.857143,7,693.289324
1.071429,4,693.31035
1.071429,4,693.331174
1.071429,4,693.352114
1.095238,5,693.379444
1.071429,4,693.400994
1.071429,4,693.421324
1.190476,9,693.464743
1.071429,4,693.484776
1.095238,5,693.51048
1.071429,4,693.530478
1.238095,11,693.584869
1.071429,4,693.607193
1.095238,5,693.633045
1.071429,4,693.654804
-0.761905,11,693.708894
1.095238,5,693.73408
1.071429,4,693.755177
1.071429,4,693.776497
1.071429,4,693.797943
1.071429,4,693.819975
1.071429,4,693.841036
-0.833333,8,693.880495
1.095238,5,693.908039
1.071429,4,693.929011
1.071429,4,693.949744
-9.738095,12,694.224546
1.119048,6,694.255763
1.071429,4,694.276212
1.071429,4,694.298426
1.095238,5,694.325187
1.071429,4,694.348063
1.261905,12,694.407963
-0.785714,10,694.461223
1.166667,8,694.503809
1.190476,9,694.549926
1.166667,8,694.590535
1.095238,5,694.616391
1.071429,4,694.637079
1.190476,9,694.681708
1.214286,10,694.732827
1.071429,4,694.754317
1.071429,4,694.77555
1.214286,10,694.825007
1.071429,4,694.84607
-0.809524,9,694.890711
1.095238,5,694.915934
-9.690476,14,694.98241
1.166667,8,695.020266
1.095238,5,695.044689
1.095238,5,695.069969
-0.738095,12,695.12913
1.142857,7,695.163216
1.071429,4,695.184548
1.071429,4,695.204638
1.071429,4,695.225034
1.071429,4,695.246387
1.071429,4,695.266496
1.071429,4,695.287327
-0.904762,5,695.313869
1.238095,11,695.366196
1.214286,10,695.415869
1.071429,4,695.436858
1.095238,5,695.462037
1.071429,4,695.483638
1.071429,4,695.504711
1.071429,4,695.742736
1.071429,4,695.763768
1.071429,4,695.785534
1.190476,9,695.829298
1.095238,5,695.854161
-0.880952,6,695.885266
1.214286,10,695.934411
1.071429,4,695.955478
1.095238,5,695.979926
1.261905,12,696.035537
1.166667,8,696.073604
1.095238,5,696.097239
1.190476,9,696.139351
-0.809524,9,696.182551
1.190476,9,696.224957
1.095238,5,696.250131
1.071429,4,696.270825
1.071429,4,696.291359
1.071429,4,696.313133
1.095238,5,696.340214
1.071429,4,696.360627
1.119048,6,696.388919
1.071429,4,696.408624
1.238095,11,696.460383
1.190476,9,696.501849
-0.833333,8,696.540483
1.071429,4,696.560363
1.071429,4,696.581118
1.071429,4,696.601824
1.238095,11,696.652941
1.071429,4,696.673078
1.071429,4,696.692916
1.071429,4,696.713639
1.142857,7,696.748083
1.190476,9,696.79401
-0.785714,10,696.844071
1.071429,4,696.864642
1.071429,4,696.885083
1.095238,5,696.910926
1.071429,4,696.932713
-0.809524,9,696.981477
1.071429,4,697.001769
1.071429,4,697.22964
1.190476,9,697.274463
1.071429,4,697.295961
1.166667,8,697.336562
1.095238,5,697.363369
1.095238,5,697.388949
1.071429,4,697.410038
-0.833333,8,697.452259
1.071429,4,697.473008
1.095238,5,697.49825
1.190476,9,697.541868
1.071429,4,697.563153
1.071429,4,697.584081
1.071429,4,697.604633
-0.809524,9,697.649976
1.071429,4,697.670491
1.119048,6,697.699313
1.119048,6,697.728096
1.166667,8,697.766201
1.095238,5,697.791259
1.071429,4,697.811804
1.071429,4,697.832237
1.095238,5,697.857738
1.214286,10,697.906533
1.071429,4,697.92731
-9.809524,9,697.973659
-9.761905,11,698.023413
-9.738095,12,698.075278
1.071429,4,698.095514
1.071429,4,698.11676
1.071429,4,698.136587
1.071429,4,698.157719
1.119048,6,698.187821
1.071429,4,698.207981
1.071429,4,698.229568
1.190476,9,698.273919
1.238095,11,698.327789
1.071429,4,698.348289
1.095238,5,698.375597
1.071429,4,698.397019
-0.809524,9,698.441852
1.095238,5,698.46634
1.071429,4,698.486797
1.071429,4,698.712598
1.142857,7,698.746675
1.071429,4,698.767896
1.214286,10,698.820241
1.095238,5,698.845301
1.071429,4,698.867027
1.285714,13,698.930139
1.095238,5,698.957344
1.095238,5,698.98609
1.166667,8,699.02408
1.309524,14,699.090172
1.119048,6,699.118311
1.071429,4,699.13902
1.071429,4,699.159686
1.071429,4,699.180202
1.190476,9,699.223813
1.071429,4,699.244838
1.071429,4,699.265218
1.142857,7,699.299473
1.095238,5,699.324412
1.119048,6,699.354529
1.071429,4,699.375777
1.119048,6,699.407477
1.214286,10,699.45537
1.071429,4,699.476124
-0.928571,4,699.498156
1.071429,4,699.518927
1.071429,4,699.538617
1.095238,5,699.563639
1.238095,11,699.616645
1.190476,9,699.66053
1.071429,4,699.682928
1.071429,4,699.703357
1.190476,9,699.74758
1.071429,4,699.768989
1.071429,4,699.789161
1.071429,4,699.810306
1.095238,5,699.835438
1.071429,4,699.854186
1.071429,4,699.874239
-9.785714,10,699.920439
1.190476,9,699.96489
1.071429,4,699.988588
-0.785714,10,700.250539
1.071429,4,700.270621
1.071429,4,700.291379
1.238095,11,700.342515
-9.714286,13,700.399581
1.071429,4,700.420228
1.071429,4,700.441543
1.190476,9,700.482729
1.071429,4,700.501855
1.095238,5,700.525681
1.071429,4,700.545488
1.261905,12,700.600114
1.095238,5,700.624904
1.166667,8,700.662198
-0.833333,8,700.702909
1.238095,11,700.755813
1.095238,5,700.781519
1.214286,10,700.83062
1.142857,7,700.866387
1.071429,4,700.887901
1.095238,5,700.914308
1.071429,4,700.935175
1.071429,4,700.955853
1.095238,5,700.983538
1.071429,4,701.00696
1.071429,4,701.027196
1.071429,4,701.048501
1.142857,7,701.082064
1.071429,4,701.102565
1.095238,5,701.129992
-0.880952,6,701.163123
1.071429,4,701.195895
1.071429,4,701.223174
1.095238,5,701.255248
1.166667,8,701.296709
1.142857,7,701.33016
1.071429,4,701.350813
1.095238,5,701.375527
1.142857,7,701.410679
1.166667,8,701.451129
1.071429,4,701.472268
1.071429,4,701.492572
1.095238,5,701.734329
1.095238,5,701.761063
1.071429,4,701.782618
-0.809524,9,701.829591
1.214286,10,701.877985
1.071429,4,701.898149
1.095238,5,701.924008
1.166667,8,701.962298
1.071429,4,701.982202
1.095238,5,702.011563
-0.928571,4,702.033832
1.071429,4,702.055219
1.095238,5,702.079412
1.071429,4,702.098772
-0.880952,6,702.130389
1.119048,6,702.159064
1.071429,4,702.179732
1.190476,9,702.223692
1.261905,12,702.279924
1.071429,4,702.30064
1.071429,4,702.321766
1.071429,4,702.342554
1.071429,4,702.36363
1.142857,7,702.397979
1.095238,5,702.423728
1.261905,12,702.485126
1.261905,12,702.546003
1.071429,4,702.567153
1.095238,5,702.593958
1.095238,5,702.619828
-9.738095,12,702.676203
1.285714,13,702.739795
1.166667,8,702.780487
1.095238,5,702.807275
1.238095,11,702.863183
1.095238,5,702.891399
1.071429,4,702.91324
1.071429,4,702.935034
1.071429,4,702.95632
1.214286,10,703.006713
1.071429,4,703.245801
1.166667,8,703.28482
1.071429,4,703.304853
1.071429,4,703.325926
1.261905,12,703.384439
1.119048,6,703.414564
1.071429,4,703.435595
1.142857,7,703.469627
1.238095,11,703.524601
1.071429,4,703.545493
-0.833333,8,703.586569
1.071429,4,703.609052
1.071429,4,703.631295
1.095238,5,703.658517
1.261905,12,703.718089
1.142857,7,703.754107
1.095238,5,703.781329
-0.833333,8,703.823634
1.095238,5,703.850153
-0.761905,11,703.904665
1.071429,4,703.927622
1.166667,8,703.968086
1.071429,4,703.989681
1.071429,4,704.011169
1.095238,5,704.039525
1.261905,12,704.099669
1.071429,4,704.121836
1.095238,5,704.147405
1.095238,5,704.173405
1.238095,11,704.224946
1.071429,4,704.24563
1.071429,4,704.26632
1.190476,9,704.310599
-0.880952,6,704.343989
1.095238,5,704.368965
1.166667,8,704.408176
1.095238,5,704.433277
1.071429,4,704.453904
1.071429,4,704.475464
1.071429,4,704.497274
1.095238,5,704.522699
1.071429,4,704.544102
1.071429,4,704.815063
1.071429,4,704.834998
1.238095,11,704.888083
1.071429,4,704.909807
1.071429,4,704.931247
1.071429,4,704.952047
1.071429,4,704.972734
1.071429,4,705.000942
1.071429,4,705.022025
1.095238,5,705.052505
1.071429,4,705.073899
1.071429,4,705.098083
1.166667,8,705.141326
1.166667,8,705.182853
-9.714286,13,705.245814
1.095238,5,705.272475
1.071429,4,705.294134
1.071429,4,705.315578
1.095238,5,705.343288
1.071429,4,705.364693
1.119048,6,705.397422
1.071429,4,705.420236
1.190476,9,705.465054
1.071429,4,705.485185
1.071429,4,705.506719
-0.880952,6,705.537698
1.095238,5,705.564107
1.095238,5,705.591322
1.071429,4,705.61353
1.119048,6,705.644422
1.238095,11,705.696796
1.166667,8,705.73533
-0.714286,13,705.805477
1.095238,5,705.831711
1.142857,7,705.865218
1.095238,5,705.890453
1.142857,7,705.926982
1.095238,5,705.95395
-0.857143,7,705.990836
1.166667,8,706.031023
1.071429,4,706.055243
1.261905,12,706.115355
1.095238,5,706.369986
1.095238,5,706.394314
-0.809524,9,706.441508
1.071429,4,706.462337
1.119048,6,706.491956
1.214286,10,706.54122
1.071429,4,706.561955
1.214286,10,706.611606
1.095238,5,706.636419
1.095238,5,706.662255
1.119048,6,706.691294
1.238095,11,706.747298
1.119048,6,706.780614
1.142857,7,706.817423
1.071429,4,706.839667
1.190476,9,706.885624
1.238095,11,706.94047
1.071429,4,706.963708
1.166667,8,707.0046
1.309524,14,707.077222
1.214286,10,707.130122
1.238095,11,707.185198
1.166667,8,707.225253
1.285714,13,707.289778
1.214286,10,707.339155
1.214286,10,707.388267
1.166667,8,707.429741
1.071429,4,707.452192
1.119048,6,707.482449
1.166667,8,707.524267
-0.880952,6,707.55647
1.071429,4,707.578111
1.071429,4,707.600512
1.071429,4,707.623392
1.071429,4,707.644753
1.166667,8,707.911092
-0.857143,7,707.946978
1.071429,4,707.967948
-0.857143,7,708.005363
1.071429,4,708.027812
1.071429,4,708.049809
1.071429,4,708.072511
1.071429,4,708.093961
1.071429,4,708.116528
1.071429,4,708.13785
1.071429,4,708.160168
1.095238,5,708.191733
1.095238,5,708.217484
-0.785714,10,708.26646
1.071429,4,708.28744
1.095238,5,708.312534
-0.738095,12,708.371264
1.285714,13,708.431998
1.095238,5,708.456735
1.095238,5,708.480629
1.261905,12,708.539025
1.142857,7,708.575075
1.071429,4,708.596377
1.071429,4,708.617377
1.071429,4,708.638568
1.119048,6,708.668318
1.285714,13,708.727543
1.095238,5,708.753335
1.071429,4,708.774111
1.214286,10,708.82479
1.142857,7,708.861497
1.119048,6,708.892264
1.071429,4,708.912718
1.071429,4,708.933224
1.285714,13,708.994587
1.166667,8,709.0323
1.071429,4,709.052769
-0.857143,7,709.091381
1.095238,5,709.117604
1.071429,4,709.138753
1.119048,6,709.169539
1.238095,11,709.442124
1.071429,4,709.464744
1.166667,8,709.502025
1.119048,6,709.530128
1.190476,9,709.573331
1.214286,10,709.620453
1.071429,4,709.639968
1.261905,12,709.694201
1.142857,7,709.72716
1.142857,7,709.761129
1.190476,9,709.805939
-0.857143,7,709.84094
-0.785714,10,709.888179
-0.833333,8,709.929106
-0.904762,5,709.955476
1.285714,13,710.013967
1.071429,4,710.034238
1.119048,6,710.062623
1.142857,7,710.095719
1.214286,10,710.142384
1.190476,9,710.183747
1.214286,10,710.230251
-0.833333,8,710.267824
1.095238,5,710.292766
1.119048,6,710.321199
1.071429,4,710.342456
-0.857143,7,710.378756
1.071429,4,710.399921
1.095238,5,710.424516
1.095238,5,710.449678
1.190476,9,710.490902
1.142857,7,710.524243
1.214286,10,710.571126
1.119048,6,710.600841
1.071429,4,710.622389
1.190476,9,710.874416
1.190476,9,710.917486
1.166667,8,710.956387
1.142857,7,710.988689
1.190476,9,711.02965
-0.833333,8,711.067735
1.166667,8,711.109108
1.071429,4,711.129272
1.119048,6,711.15721
1.071429,4,711.177145
1.071429,4,711.196731
1.071429,4,711.216557
1.071429,4,711.235981
1.190476,9,711.276955
1.119048,6,711.306604
-0.809524,9,711.34967
-0.785714,10,711.399751
1.095238,5,711.423575
1.071429,4,711.445269
1.214286,10,711.492353
1.238095,11,711.543059
1.142857,7,711.576083
1.071429,4,711.596369
-0.857143,7,711.63235
-0.785714,10,711.678938
1.071429,4,711.698913
1.095238,5,711.723379
1.095238,5,711.748853
-0.904762,5,711.776011
1.071429,4,711.79617
1.119048,6,711.826316
1.214286,10,711.877145
1.095238,5,711.903258
1.095238,5,711.927385
1.095238,5,711.951558
1.071429,4,711.971697
1.071429,4,711.991765
1.071429,4,712.011727
1.119048,6,712.040629
1.190476,9,712.08247
1.142857,7,712.11855
1.142857,7,712.368101
1.071429,4,712.388312
1.238095,11,712.442285
1.071429,4,712.463275
1.190476,9,712.506159
1.095238,5,712.530558
1.095238,5,712.55555
1.071429,4,712.576128
1.119048,6,712.607443
1.095238,5,712.632992
1.071429,4,712.652335
1.214286,10,712.697268
1.071429,4,712.716414
1.071429,4,712.736995
1.071429,4,712.757863
1.071429,4,712.778837
1.071429,4,712.799326
1.238095,11,712.850975
1.238095,11,712.903051
1.095238,5,712.927487
1.071429,4,712.948231
1.071429,4,712.96832
1.119048,6,712.997557
1.071429,4,713.017898
1.095238,5,713.04402
1.166667,8,713.083019
1.071429,4,713.102251
1.071429,4,713.123187
1.095238,5,713.148934
1.166667,8,713.186217
1.095238,5,713.211051
1.285714,13,713.271217
1.071429,4,713.291477
1.119048,6,713.321581
1.071429,4,713.342549
1.095238,5,713.368428
1.095238,5,713.393236
1.071429,4,713.413616
1.119048,6,713.44244
1.095238,5,713.466518
1.214286,10,713.512629
1.238095,11,713.56211
1.261905,12,713.831693
1.119048,6,713.862357
1.095238,5,713.887694
1.095238,5,713.912933
1.190476,9,713.956682
1.071429,4,713.977231
1.142857,7,714.010708
1.095238,5,714.035251
1.238095,11,714.08639
1.261905,12,714.147558
1.142857,7,714.182907
-0.785714,10,714.2296
-0.666667,15,714.299603
1.071429,4,714.319243
1.142857,7,714.352534
1.071429,4,714.372665
1.095238,5,714.396567
1.166667,8,714.433229
1.095238,5,714.457281
1.285714,13,714.514745
1.142857,7,714.547294
1.190476,9,714.590479
1.071429,4,714.611788
1.095238,5,714.636016
1.166667,8,714.673706
1.071429,4,714.693816
1.071429,4,714.714289
1.119048,6,714.743384
1.071429,4,714.764014
1.071429,4,714.784274
1.095238,5,714.809193
1.071429,4,714.830266
1.142857,7,714.864805
1.214286,10,714.910796
1.095238,5,714.935153
1.071429,4,714.956014
1.119048,6,714.98392
1.071429,4,715.00513
1.071429,4,715.025766
1.071429,4,715.251637
1.095238,5,715.275587
-0.880952,6,715.30556
1.071429,4,715.326214
1.119048,6,715.355946
1.238095,11,715.408326
1.190476,9,715.450349
1.095238,5,715.475152
1.261905,12,715.52998
1.071429,4,715.550543
1.095238,5,715.575346
1.190476,9,715.619274
1.119048,6,715.648668
1.095238,5,715.673319
1.071429,4,715.693752
1.071429,4,715.714461
1.214286,10,715.762122
1.214286,10,715.81082
1.142857,7,715.845269
1.214286,10,715.892434
1.095238,5,715.917793
1.071429,4,715.939083
-9.785714,10,715.983775
1.095238,5,716.008505
1.309524,14,716.073354
1.214286,10,716.120923
1.071429,4,716.139951
1.119048,6,716.172419
1.166667,8,716.21136
1.119048,6,716.240277
-0.785714,10,716.289248
-0.857143,7,716.325822
1.119048,6,716.355524
-0.857143,7,716.391458
1.309524,14,716.460089
1.166667,8,716.707402
1.119048,6,716.736544
1.119048,6,716.765976
1.166667,8,716.806204
1.190476,9,716.85064
1.071429,4,716.871709
1.285714,13,716.934373
1.071429,4,716.955983
1.238095,11,717.012602
1.071429,4,717.034256
1.071429,4,717.055375
1.071429,4,717.078162
1.095238,5,717.103762
1.166667,8,717.142528
1.119048,6,717.173615
1.214286,10,717.221516
1.071429,4,717.241704
1.071429,4,717.26359
1.095238,5,717.288462
1.071429,4,717.309134
1.190476,9,717.352762
1.119048,6,717.382028
-9.785714,10,717.42797
1.190476,9,717.471518
1.071429,4,717.491849
1.142857,7,717.525639
1.190476,9,717.568697
1.071429,4,717.589472
1.071429,4,717.610224
-0.809524,9,717.654673
-0.857143,7,717.690923
1.071429,4,717.711384
1.166667,8,717.748946
1.071429,4,717.768343
-0.785714,10,717.819007
1.166667,8,717.859854
1.166667,8,717.899679
1.166667,8,717.938308
1.071429,4,717.95857
-0.809524,9,718.244998
1.238095,11,718.298254
1.190476,9,718.342961
1.166667,8,718.382022
1.238095,11,718.436068
1.190476,9,718.48107
-0.809524,9,718.526196
1.071429,4,718.547015
1.095238,5,718.57294
1.166667,8,718.621467
1.071429,4,718.644418
-0.809524,9,718.69238
